exp_dir,aggregator,alpha,adv_percent,mu,seed,attack_mode,round,macro_f1,macro_f1_val,n_test_total,config_key
dsedge-iiotset-full_comp_bulyan_alpha0.5_adv10_dp0_pers0_mu0.1_modetargeted_label_seed46_datasetedge-iiotset-full,bulyan,0.5,10,0.1,46,targeted,20,0.5378478054113841,,306568,bulyan_alpha0.5_adv10_mu0.1
dsedge-iiotset-full_comp_median_alphainf_adv30_dp0_pers0_mu0.0_seed50_datasetedge-iiotset-full,median,inf,30,0.0,50,none,20,0.4875834087981434,,306570,median_alphainf_adv30_mu0.0
dsedge-iiotset-full_comp_fedavg_alphainf_adv20_dp0_pers0_mu0.0_seed56_datasetedge-iiotset-full,fedavg,inf,20,0.0,56,none,20,0.072716558330333,,306570,fedavg_alphainf_adv20_mu0.0
dsedge-iiotset-full_comp_median_alpha0.5_adv0_dp0_pers0_mu0.0_seed53_datasetedge-iiotset-full,median,0.5,0,0.0,53,none,20,0.6517338970953285,,306570,median_alpha0.5_adv0_mu0.0
dsedge-iiotset-full_comp_krum_alpha0.02_adv10_dp0_pers0_mu0.0_seed50_datasetedge-iiotset-full,krum,0.02,10,0.0,50,none,20,0.3228461355461685,,306569,krum_alpha0.02_adv10_mu0.0
dsedge-iiotset-full_comp_fedavg_alpha0.1_adv30_dp0_pers0_mu0.0_seed53_datasetedge-iiotset-full,fedavg,0.1,30,0.0,53,none,20,0.1120687422229104,,306571,fedavg_alpha0.1_adv30_mu0.0
dsedge-iiotset-full_comp_median_alpha1.0_adv20_dp0_pers0_mu0.0_seed42_datasetedge-iiotset-full,median,1.0,20,0.0,42,none,20,0.5646278916009776,,306568,median_alpha1.0_adv20_mu0.0
dsedge-iiotset-full_comp_bulyan_alphainf_adv0_dp0_pers0_mu0.0_seed48_datasetedge-iiotset-full,bulyan,inf,0,0.0,48,none,20,0.7058455670420923,,306570,bulyan_alphainf_adv0_mu0.0
dsedge-iiotset-full_comp_krum_alpha1.0_adv10_dp0_pers0_mu0.0_seed51_datasetedge-iiotset-full,krum,1.0,10,0.0,51,none,20,0.6032853009782831,,306569,krum_alpha1.0_adv10_mu0.0
dsedge-iiotset-full_comp_fedavg_alpha0.5_adv20_dp0_pers0_mu0.0_seed59_datasetedge-iiotset-full,fedavg,0.5,20,0.0,59,none,20,0.4658685091682824,,306571,fedavg_alpha0.5_adv20_mu0.0
dsedge-iiotset-full_comp_krum_alpha0.1_adv10_dp0_pers0_mu0.0_seed46_datasetedge-iiotset-full,krum,0.1,10,0.0,46,none,20,0.4282453778689217,,306570,krum_alpha0.1_adv10_mu0.0
dsedge-iiotset-full_comp_fedavg_alpha1.0_adv30_dp0_pers0_mu0.0_seed44_datasetedge-iiotset-full,fedavg,1.0,30,0.0,44,none,20,0.1769843513189077,,306570,fedavg_alpha1.0_adv30_mu0.0
dsedge-iiotset-full_comp_median_alpha0.1_adv20_dp0_pers0_mu0.0_seed55_datasetedge-iiotset-full,median,0.1,20,0.0,55,none,20,0.228345276957663,,306570,median_alpha0.1_adv20_mu0.0
