experiment,aggregation,alpha,seed,mu,dataset,num_clients,num_rounds,final_round,num_clients_reporting,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,acc_mean,acc_std
dsedge-iiotset-full_comp_krum_alpha1.0_adv0_dp0_pers0_mu0.0_seed43,krum,1.0,43,0.0,edge-iiotset-full,6,15,14,6,0.6685902497847401,0.012747314387991789,0.6526297590903586,0.6855384966289848,0.9611475356362331,0.0038900988578297736
dsedge-iiotset-nightly_comp_fedavg_alpha0.5_adv0_dp0_pers5_mu0.0_seed49,fedavg,0.5,49,0.0,edge-iiotset-nightly,6,15,15,6,0.6754723272616395,0.043375930963066904,0.6010476333248165,0.7193698382874717,0.9452538467816196,0.027892995152738676
dsedge-iiotset-nightly_comp_fedprox_alpha0.1_adv0_dp0_pers0_mu0.01_seed45,unknown,0.1,45,0.01,edge-iiotset-nightly,6,15,15,6,0.6302536915769044,0.06182400370627176,0.5474779791536343,0.7345019448808219,0.9799099638304418,0.04375068580868688
dsedge-iiotset-nightly_comp_fedavg_alpha1.0_adv0_dp0_pers3_mu0.0_seed43,fedavg,1.0,43,0.0,edge-iiotset-nightly,12,15,15,12,0.6918981171736363,0.022080680811298093,0.6498872837368388,0.722196070897417,0.9648997134670487,0.003085187833044451
dsedge-iiotset-nightly_comp_fedprox_alpha1.0_adv0_dp0_pers0_mu0.1_seed44_datasetedge-iiotset-nightly,unknown,1.0,44,0.1,edge-iiotset-nightly,6,20,20,6,0.7185492835819078,0.04277192335594513,0.6878661411817972,0.7977875806961748,0.9674120676051658,0.00286679610683091
dsedge-iiotset-nightly_comp_fedavg_alpha0.5_adv0_dp1_pers0_mu0.0_seed44,fedavg,0.5,44,0.0,edge-iiotset-nightly,6,15,15,6,0.5859824242764676,0.07765618980651023,0.453176013221119,0.6714265081264108,0.9710649839737928,0.021904154128243966
dsedge-iiotset-nightly_comp_fedprox_alpha0.05_adv0_dp0_sigma0.0_pers0_mu0.0_cf1.0_le1_idx0_seed47,unknown,0.05,47,0.0,edge-iiotset-nightly,6,15,15,6,0.6113625056502158,0.018956775999917335,0.5934179898944313,0.6472967087787862,0.9795123066611146,0.02788723622636209
dsedge-iiotset-nightly_comp_fedavg_alphainf_adv0_dp0_pers0_mu0.0_seed44,fedavg,,44,0.0,edge-iiotset-nightly,6,15,15,6,0.7149801975083776,0.0423041138731395,0.6564932422476083,0.7752147253728353,0.9655745193305926,0.0017857367019023678
dsedge-iiotset-nightly_comp_bulyan_alpha0.05_adv0_dp0_sigma0.0_pers0_mu0.0_cf1.0_le1_idx51_seed43,bulyan,0.05,43,0.0,edge-iiotset-nightly,6,15,15,6,0.6196510775043463,0.041927370748791624,0.573726224080835,0.6751789077212805,0.9794092339659485,0.025901668667054747
dsedge-iiotset-nightly_comp_fedprox_alpha0.2_adv0_dp0_sigma0.0_pers0_mu0.05_cf1.0_le1_idx36_seed48,unknown,0.2,48,0.05,edge-iiotset-nightly,6,15,15,6,0.5520940195739668,0.029681823561334423,0.49590628131939524,0.5829301632634858,0.9772705196238877,0.030390312376090137
dsedge-iiotset-nightly_comp_fedprox_alpha0.05_adv0_dp0_sigma0.0_pers0_mu0.1_cf1.0_le1_idx11_seed48,unknown,0.05,48,0.1,edge-iiotset-nightly,6,15,15,6,0.4613134791376919,0.08467416267738748,0.33303602436924423,0.5734101446192076,0.9627343858522098,0.037824797039886685
dsedge-iiotset-nightly_p0b1bacd1_comp_fedavg_alpha1.0_adv0_dp0_pers0_mu0.0_seed49_datasetedge-iiotset-nightly,fedavg,1.0,49,0.0,edge-iiotset-nightly,6,20,20,6,0.6973075734901191,0.03328693616193923,0.6588845830929109,0.7391437799527913,0.9656749859961412,0.001303614022957503
dsedge-iiotset-nightly_comp_fedprox_alpha0.05_adv0_dp0_sigma0.0_pers0_mu0.1_cf1.0_le1_idx10_seed47,unknown,0.05,47,0.1,edge-iiotset-nightly,6,15,15,6,0.33853829591703627,0.04484041992309712,0.2912429319392979,0.39431103513988874,0.9668043916287334,0.045917358223046545
dsedge-iiotset-nightly_comp_bulyan_alpha1.0_adv0_dp0_pers0_mu0.0_seed42,bulyan,1.0,42,0.0,edge-iiotset-nightly,6,15,15,6,0.6732382976888677,0.028525803600455646,0.6455314250256865,0.7079198449534009,0.9612246169179021,0.005193749429730537
dsedge-iiotset-nightly_comp_fedavg_alphainf_adv0_dp0_pers0_mu0.0_seed42,fedavg,,42,0.0,edge-iiotset-nightly,6,15,15,6,0.6743542404669736,0.02089087994270687,0.6507666793822655,0.7002106278460659,0.9633217059092231,0.0029785759284804594
dsedge-iiotset-nightly_comp_fedprox_alpha1.0_adv0_dp0_pers0_mu0.05_seed43,unknown,1.0,43,0.05,edge-iiotset-nightly,6,15,15,6,0.5939758324066421,0.018714100242249766,0.5703059042029198,0.6267508487338315,0.9537141639364449,0.025441570521298123
dsedge-iiotset-nightly_comp_fedprox_alpha0.2_adv0_dp0_sigma0.0_pers0_mu0.0_cf1.0_le1_idx32_seed49,unknown,0.2,49,0.0,edge-iiotset-nightly,6,15,15,6,0.63662848036217,0.024869126387977197,0.5993224412743097,0.6746453635243633,0.9655363745163046,0.02079307302427727
dsedge-iiotset-nightly_comp_fedprox_alpha1.0_adv0_dp0_pers0_mu0.05_seed44,unknown,1.0,44,0.05,edge-iiotset-nightly,6,15,15,6,0.586117272953559,0.03356370747605482,0.5519942043340083,0.6307682844052499,0.967350885000342,0.021930960933749372
dsedge-iiotset-nightly_comp_fedavg_alpha0.5_adv0_dp1_pers3_mu0.0_seed51,fedavg,0.5,51,0.0,edge-iiotset-nightly,6,15,15,6,0.6207738091013362,0.03320870037150119,0.5804881839089916,0.6661601637076925,0.9604541320368353,0.0230898800404568
dsedge-iiotset-nightly_comp_bulyan_alpha0.2_adv0_dp0_sigma0.0_pers0_mu0.0_cf1.0_le1_idx62_seed44,bulyan,0.2,44,0.0,edge-iiotset-nightly,6,15,15,6,0.642984732955985,0.06390996906649313,0.5442288916480646,0.7166404725219168,0.9749474493966737,0.03208498653462765
dsedge-iiotset-nightly_comp_bulyan_alpha0.2_adv0_dp0_sigma0.0_pers0_mu0.0_cf1.0_le1_idx63_seed45,bulyan,0.2,45,0.0,edge-iiotset-nightly,6,15,15,6,0.6494119374025088,0.03170139498727039,0.5883721731908725,0.6825271514841095,0.9693064823666129,0.0656081741373526
dsedge-iiotset-nightly_comp_fedavg_alpha0.5_adv0_dp1_pers0_mu0.0_seed48,fedavg,0.5,48,0.0,edge-iiotset-nightly,6,15,15,6,0.6127109568506702,0.08088445965760571,0.5064691227848535,0.7065309397095197,0.9620505118263805,0.02515913223470184
dsedge-iiotset-nightly_comp_fedprox_alpha0.1_adv0_dp0_pers0_mu0.01_seed46,unknown,0.1,46,0.01,edge-iiotset-nightly,6,15,15,6,0.5414919755891084,0.05401721212905496,0.4778097178161103,0.6314244807364098,0.9830063042741495,0.020288503314579313
dsedge-iiotset-nightly_comp_fedprox_alpha0.2_adv0_dp0_pers0_mu0.1_seed42,unknown,0.2,42,0.1,edge-iiotset-nightly,6,15,15,6,0.5289563141014905,0.08232405851728855,0.4277317282050218,0.6547729418517672,0.9687376565512908,0.04312897397268966
dsedge-iiotset-nightly_comp_fedavg_alpha0.2_adv0_dp0_pers0_mu0.0_seed42,fedavg,0.2,42,0.0,edge-iiotset-nightly,6,15,15,6,0.6082474852173593,0.03735868881856529,0.5692494156051751,0.672531415681333,0.9711057869655162,0.04018208193912534
