slice,n_runs,n_seeds,metric_mean,ci_low,ci_high,reliability_grade,dataset,aggregation,adv_percent,attack_mode,alpha,fedprox_mu
attack_alpha0.5_by_mode,7,5,0.46532225630889945,0.36527903714773724,0.5653654754700617,B,unsw,median,10.0,targeted_label,,
attack_alpha0.5_by_mode,6,5,0.3412899665745492,0.22373231678352956,0.4588476163655688,B,unsw,median,20.0,grad_ascent,,
attack_alpha0.5_by_mode,6,5,0.44526147197597815,0.30432827539737617,0.5861946685545801,B,unsw,median,20.0,label_flip,,
attack_alpha0.5_by_mode,9,5,0.34063635368366246,0.2776416626868079,0.403631044680517,B,unsw,median,20.0,sign_flip_topk,,
attack_alpha0.5_by_mode,7,5,0.3967513755128742,0.3389395436464106,0.4545632073793378,B,unsw,median,20.0,targeted_label,,
attack_alpha0.5_by_mode,7,5,0.2511816113630037,0.19227852363796172,0.3100846990880457,B,unsw,median,30.0,grad_ascent,,
attack_alpha0.5_by_mode,8,5,0.3898022817947818,0.3019338402013826,0.47767072338818106,B,unsw,median,30.0,label_flip,,
attack_alpha0.5_by_mode,7,5,0.43690391427558606,0.3791294696423097,0.4946783589088624,B,unsw,median,30.0,none,,
attack_alpha0.5_by_mode,7,5,0.29123580360558676,0.24840805492268114,0.3340635522884924,B,unsw,median,30.0,sign_flip_topk,,
attack_alpha0.5_by_mode,6,5,0.3833664876344667,0.3161817200073933,0.45055125526154005,B,unsw,median,30.0,targeted_label,,
heterogeneity_fedavg,20,20,0.3323942544090956,0.2825907088501097,0.3821977999680815,A,cic,,,,0.02,
heterogeneity_fedavg,20,20,0.3179686162749676,0.2742339285975559,0.36170330395237926,A,cic,,,,0.05,
heterogeneity_fedavg,20,20,0.332861337960202,0.30398916296632006,0.36173351295408396,A,cic,,,,0.1,
heterogeneity_fedavg,20,20,0.3516847904467219,0.32888273352079794,0.37448684737264587,A,cic,,,,0.2,
heterogeneity_fedavg,64,20,0.3945173975934977,0.3804567181562691,0.4085780770307263,A,cic,,,,0.5,
heterogeneity_fedavg,21,21,0.4612131388056685,0.4486793084670011,0.4737469691443359,A,cic,,,,1.0,
heterogeneity_fedavg,20,20,0.522639225577098,0.5102511152709911,0.5350273358832048,A,cic,,,,inf,
heterogeneity_fedavg,18,18,0.3935702522904358,0.35493277896040093,0.43220772562047066,A,edge-iiotset-full,,,,0.02,
heterogeneity_fedavg,18,18,0.48871376426954793,0.4490044459647361,0.5284230825743598,A,edge-iiotset-full,,,,0.05,
heterogeneity_fedavg,15,15,0.5882799708568803,0.5617721392952342,0.6147878024185265,A,edge-iiotset-full,,,,0.1,
heterogeneity_fedavg,15,15,0.6448015652933561,0.6335965243162202,0.656006606270492,A,edge-iiotset-full,,,,0.2,
heterogeneity_fedavg,15,15,0.6673980232924084,0.6585552386186646,0.6762408079661522,A,edge-iiotset-full,,,,0.5,
heterogeneity_fedavg,13,13,0.684640352304653,0.6775082096236169,0.6917724949856892,A,edge-iiotset-full,,,,1.0,
heterogeneity_fedavg,15,15,0.7127207697626636,0.7077738779425075,0.7176676615828198,A,edge-iiotset-full,,,,inf,
heterogeneity_fedavg,30,20,0.7379888262659766,0.6446087986109538,0.8313688539209995,A,unsw,,,,0.02,
heterogeneity_fedavg,33,20,0.53466337626464,0.4709854206542801,0.5983413318749998,A,unsw,,,,0.05,
heterogeneity_fedavg,32,19,0.5163993715499815,0.46185581121889524,0.5709429318810678,A,unsw,,,,0.1,
heterogeneity_fedavg,34,20,0.4447739484601504,0.40690279802053936,0.4826450988997614,A,unsw,,,,0.2,
heterogeneity_fedavg,92,20,0.3888235021956408,0.3711342904573367,0.40651271393394495,A,unsw,,,,0.5,
heterogeneity_fedavg,43,21,0.4347621895910899,0.416005783052667,0.45351859612951284,A,unsw,,,,1.0,
heterogeneity_fedavg,33,20,0.4204443417456057,0.40612055833001565,0.43476812516119573,A,unsw,,,,inf,
fedprox_nonzero_mu,10,5,0.3283124618020765,0.2866509451858065,0.3699739784183465,B,cic,,,,0.02,0.002
fedprox_nonzero_mu,5,5,0.28491356044488647,0.20276948342657072,0.3670576374632022,B,cic,,,,0.02,0.005
fedprox_nonzero_mu,5,5,0.2940445625977919,0.1892961235510835,0.39879300164450027,B,cic,,,,0.02,0.01
fedprox_nonzero_mu,8,8,0.30295634259943927,0.2285279580965111,0.3773847271023674,B,cic,,,,0.02,0.02
fedprox_nonzero_mu,6,5,0.25741731608242024,0.20704998371600225,0.30778464844883824,B,cic,,,,0.02,0.05
fedprox_nonzero_mu,5,5,0.23677279675402924,0.18461398653575792,0.2889316069723006,B,cic,,,,0.02,0.08
fedprox_nonzero_mu,5,5,0.24372441174269657,0.1835359725429386,0.30391285094245457,B,cic,,,,0.02,0.1
fedprox_nonzero_mu,5,5,0.22393365474790441,0.17696841874575786,0.27089889075005097,B,cic,,,,0.02,0.2
fedprox_nonzero_mu,5,5,0.34913612017063067,0.24616703726960332,0.452105203071658,B,cic,,,,0.05,0.002
fedprox_nonzero_mu,5,5,0.3373281516730543,0.20708643604711036,0.46756986729899824,B,cic,,,,0.05,0.005
fedprox_nonzero_mu,5,5,0.3079201111845701,0.20237023755529054,0.4134699848138496,B,cic,,,,0.05,0.01
fedprox_nonzero_mu,6,5,0.27100240282782667,0.21380890157399632,0.328195904081657,B,cic,,,,0.05,0.02
fedprox_nonzero_mu,5,5,0.2595025654394561,0.18640577226731336,0.33259935861159884,B,cic,,,,0.05,0.05
fedprox_nonzero_mu,5,5,0.24978685970928108,0.18369222912290942,0.3158814902956527,B,cic,,,,0.05,0.08
fedprox_nonzero_mu,5,5,0.24636474365963643,0.17753890358633748,0.3151905837329354,B,cic,,,,0.05,0.1
fedprox_nonzero_mu,5,5,0.21871550601265505,0.18849481182373395,0.24893620020157614,B,cic,,,,0.05,0.2
fedprox_nonzero_mu,8,8,0.21651894472107458,0.16799192247947206,0.2650459669626771,B,cic,,,,0.05,1.0
fedprox_nonzero_mu,5,5,0.3693778073155042,0.29770030345710113,0.4410553111739072,B,cic,,,,0.1,0.002
