run_id,quality_state,max_round,parsed_row_count,dataset,aggregation
cic_simple_08cc8dbc00_comp_fedavg_alpha0.2_adv30_dp0_pers0_mu0.0_seed60,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_08cca8dee7_comp_fedavg_alpha0.5_adv0_dp1_pers0_mu0.0_seed42,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_08df5ee41f_comp_median_alpha0.5_adv30_dp0_pers0_mu0.0_seed57,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_08fc985d24_comp_krum_alpha0.1_adv10_dp0_pers0_mu0.0_seed47,complete_or_exceeds_target,20.0,20,cic,krum
cic_simple_0908c8efa4_comp_fedavg_alpha0.5_adv0_dp0_pers0_mu0.0_seed42,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_0915edf7a9_comp_fedprox_alpha0.1_adv0_dp0_pers0_mu0.002_seed46,complete_or_exceeds_target,20.0,20,cic,fedprox
cic_simple_092691d259_comp_median_alpha0.02_adv30_dp0_pers0_mu0.0_seed55,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_092c23a254_comp_fedavg_alpha1.0_adv0_dp0_pers0_mu0.0_seed45,complete_or_exceeds_target,15.0,15,cic,fedavg
cic_simple_0948231ae2_comp_fedavg_alpha0.5_adv0_dp0_pers3_mu0.0_seed46,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_09596917bd_comp_fedavg_alpha0.5_adv10_dp0_pers0_mu0.0_seed43,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_09865e3e7f_comp_fedprox_alphainf_adv0_dp0_pers0_mu0.005_seed45,complete_or_exceeds_target,20.0,20,cic,fedprox
cic_simple_098920c205_comp_krum_alpha0.02_adv30_dp0_pers0_mu0.0_seed54,complete_or_exceeds_target,20.0,20,cic,krum
cic_simple_098f214645_comp_fedavg_alpha0.02_adv10_dp0_pers0_mu0.0_seed58,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_09a3e454fd_comp_fedavg_alpha0.2_adv0_dp0_pers0_mu0.05_seed45,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_09bac6f31c_comp_fedavg_alpha1.0_adv0_dp0_pers0_mu0.002_seed46,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_09d96db20d_comp_fedprox_alpha0.1_adv0_dp0_pers0_mu0.08_seed45,complete_or_exceeds_target,20.0,20,cic,fedprox
cic_simple_09e6b11f5f_comp_fedprox_alpha0.02_adv0_dp0_pers0_mu0.2_seed44,complete_or_exceeds_target,20.0,20,cic,fedprox
cic_simple_09f1475681_comp_median_alpha1.0_adv20_dp0_pers0_mu0.0_seed56,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_09f46175b0_comp_krum_alpha1.0_adv30_dp0_pers0_mu0.0_seed42,complete_or_exceeds_target,20.0,20,cic,krum
cic_simple_09fa9ebad2_comp_fedavg_alpha0.2_adv0_dp0_pers0_mu0.0_seed61,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_0a0d977fe6_comp_fedavg_alpha0.05_adv30_dp0_pers0_mu0.0_seed61,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_0a33e61f99_comp_median_alpha0.5_adv0_dp0_pers0_mu0.0_seed45,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_0a3e9377b0_comp_median_alpha0.02_adv0_dp0_pers0_mu0.0_seed45,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_0a4498b424_comp_median_alphainf_adv0_dp0_pers0_mu0.0_seed45,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_0a514a5346_comp_krum_alphainf_adv20_dp0_pers0_mu0.0_seed54,complete_or_exceeds_target,20.0,20,cic,krum
cic_simple_0a643599f4_comp_bulyan_alpha0.5_adv0_dp0_pers0_mu0.0_seed58,complete_or_exceeds_target,20.0,20,cic,bulyan
cic_simple_0a6b56d51b_comp_fedprox_alpha0.5_adv0_dp0_pers0_mu1.0_seed44,complete_or_exceeds_target,20.0,20,cic,fedprox
cic_simple_0a6e6ccfeb_comp_fedprox_alpha1.0_adv0_dp0_pers0_mu0.02_seed46,complete_or_exceeds_target,20.0,20,cic,fedprox
cic_simple_0a79c91adb_comp_median_alpha0.5_adv20_dp0_pers0_mu0.0_seed44,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_0a7a1d5722_comp_median_alpha0.5_adv30_dp0_pers0_mu0.0_seed49,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_0a7fa3c3e9_comp_median_alpha0.1_adv30_dp0_pers0_mu0.0_seed53,complete_or_exceeds_target,20.0,20,cic,median
