run_id,canonical_run_id,is_canonical,canonical_key_id,duplicate_group_size,dataset,aggregation,alpha,adv_percent,attack_mode,fedprox_mu,seed,quality_state,quality_rank,max_round,parsed_row_count
dsedge-iiotset-full_comp_bulyan_alphainf_adv10_dp0_pers0_mu0.0_seed55_datasetedge-iiotset-full,dsedge-iiotset-full_comp_bulyan_alphainf_adv10_dp0_pers0_mu0.0_seed55_datasetedge-iiotset-full,True,5f86a27b96fb,1,edge-iiotset-full,bulyan,inf,10.0,none,0.0,55.0,complete_or_exceeds_target,0,20.0,20
dsedge-iiotset-full_comp_fedavg_alpha0.1_adv20_dp0_pers0_mu0.0_seed53_datasetedge-iiotset-full,dsedge-iiotset-full_comp_fedavg_alpha0.1_adv20_dp0_pers0_mu0.0_seed53_datasetedge-iiotset-full,True,5f8842ec0c61,1,edge-iiotset-full,fedavg,0.1,20.0,none,0.0,53.0,complete_or_exceeds_target,0,20.0,20
cic_simple_164d2ea2c7_comp_fedprox_alpha0.02_adv0_dp0_pers0_mu1.0_seed44,cic_simple_164d2ea2c7_comp_fedprox_alpha0.02_adv0_dp0_pers0_mu1.0_seed44,True,5f8b06fae157,2,cic,fedprox,0.02,0.0,none,1.0,44.0,complete_or_exceeds_target,0,20.0,20
dscic_comp_fedprox_alpha0.02_adv0_dp0_pers0_mu1.0_n10_r20_modenone_seed44_datasetcic,cic_simple_164d2ea2c7_comp_fedprox_alpha0.02_adv0_dp0_pers0_mu1.0_seed44,False,5f8b06fae157,2,cic,fedprox,0.02,0.0,none,1.0,44.0,complete_or_exceeds_target,0,20.0,20
cic_simple_8662b6ebbc_comp_fedprox_alpha0.5_adv0_dp0_pers0_mu0.002_seed42,cic_simple_8662b6ebbc_comp_fedprox_alpha0.5_adv0_dp0_pers0_mu0.002_seed42,True,5f8ce947682b,2,cic,fedprox,0.5,0.0,none,0.002,42.0,complete_or_exceeds_target,0,20.0,20
dscic_comp_fedprox_alpha0.5_adv0_dp0_pers0_mu0.002_n10_r20_modenone_seed42_datasetcic,cic_simple_8662b6ebbc_comp_fedprox_alpha0.5_adv0_dp0_pers0_mu0.002_seed42,False,5f8ce947682b,2,cic,fedprox,0.5,0.0,none,0.002,42.0,complete_or_exceeds_target,0,20.0,20
unsw_simple_aedec30b27_comp_bulyan_alpha0.2_adv10_dp0_pers0_mu0.0_seed52_srccic,unsw_simple_aedec30b27_comp_bulyan_alpha0.2_adv10_dp0_pers0_mu0.0_seed52_srccic,True,5f8e2404f804,1,unsw,bulyan,0.2,10.0,sign_flip_topk,0.0,52.0,complete_or_exceeds_target,0,20.0,20
unsw_simple_d5bd365c5d_comp_bulyan_alpha0.05_adv0_dp0_pers0_mu0.0_seed45_srccic,unsw_simple_d5bd365c5d_comp_bulyan_alpha0.05_adv0_dp0_pers0_mu0.0_seed45_srccic,True,5f8e5a6ed26f,1,unsw,bulyan,0.05,0.0,none,0.0,45.0,complete_or_exceeds_target,0,20.0,20
dsedge-iiotset-full_comp_krum_alpha1.0_adv0_dp0_pers0_mu0.01_modenone_seed46_datasetedge-iiotset-full,dsedge-iiotset-full_comp_krum_alpha1.0_adv0_dp0_pers0_mu0.01_modenone_seed46_datasetedge-iiotset-full,True,5f906e1f1ecd,1,edge-iiotset-full,krum,1.0,0.0,none,0.01,46.0,complete_or_exceeds_target,0,20.0,20
cic_simple_df97f080a5_comp_bulyan_alpha0.1_adv10_dp0_pers0_mu0.0_seed42,cic_simple_df97f080a5_comp_bulyan_alpha0.1_adv10_dp0_pers0_mu0.0_seed42,True,5f99b91a19e0,1,cic,bulyan,0.1,10.0,none,0.0,42.0,complete_or_exceeds_target,0,20.0,20
unsw_simple_3b8889fc51_comp_fedprox_alpha0.05_adv0_dp0_pers0_mu1.0_seed44,unsw_simple_3b8889fc51_comp_fedprox_alpha0.05_adv0_dp0_pers0_mu1.0_seed44,True,5f9ddb4b569d,1,unsw,fedprox,0.05,0.0,none,1.0,44.0,complete_or_exceeds_target,0,20.0,20
dscic_comp_median_alphainf_adv10_dp0_pers0_mu0.0_n10_r20_modelabel_flip_seed55_datasetcic,dscic_comp_median_alphainf_adv10_dp0_pers0_mu0.0_n10_r20_modelabel_flip_seed55_datasetcic,True,5fc2cc67df42,1,cic,median,inf,10.0,label_flip,0.0,55.0,complete_or_exceeds_target,0,20.0,20
